horizon,variable,coef,t_stat,p_value,model_llf,model_pseudo_r2
5min,distilbert_score,0.11490104858380512,0.8447705712061339,0.3982389485973249,-374.5042259533731,0.0026347006332040346
5min,svc_score,-0.08399301672442076,-0.5642352774867224,0.5725940223306614,-374.5042259533731,0.0026347006332040346
5min,gbdt_score,0.08834813802889602,0.4583027985418637,0.6467349138290037,-374.5042259533731,0.0026347006332040346
5min,knn_score,-0.07748834955604543,-0.5464804146304683,0.5847357469590597,-374.5042259533731,0.0026347006332040346
5min,flair_score,-0.11025818534384152,-0.7968199851837261,0.42555558650741465,-374.5042259533731,0.0026347006332040346
5min,vader_score,0.06476155362457106,0.3999279170628297,0.6892096095314887,-374.5042259533731,0.0026347006332040346
15min,distilbert_score,0.18584239547144668,1.4648951986059247,0.14294951298633427,-446.9799005729304,0.004790788065744955
15min,svc_score,0.07690074390235738,0.551825361630353,0.5810680094210818,-446.9799005729304,0.004790788065744955
15min,gbdt_score,0.17887901058968877,1.0003679743632288,0.31713246258044137,-446.9799005729304,0.004790788065744955
15min,knn_score,-0.037172568484355684,-0.2925616622322597,0.7698572212364173,-446.9799005729304,0.004790788065744955
15min,flair_score,-0.043457218530770246,-0.334271035913875,0.7381750446120556,-446.9799005729304,0.004790788065744955
15min,vader_score,-0.10991846747141867,-0.7404747843902246,0.45901195595095556,-446.9799005729304,0.004790788065744955
30min,distilbert_score,0.09201475732823897,0.7450415317507395,0.4562466130798738,-469.34816192953286,0.00852477813035657
30min,svc_score,0.08620636389118337,0.6328098718477527,0.5268578093910077,-469.34816192953286,0.00852477813035657
30min,gbdt_score,0.1445629415151614,0.8292049346840976,0.40698845311719445,-469.34816192953286,0.00852477813035657
30min,knn_score,-0.06422645075496446,-0.5330785825598264,0.5939791841779629,-469.34816192953286,0.00852477813035657
30min,flair_score,0.1868366148545847,1.4543284187221268,0.14585527508831342,-469.34816192953286,0.00852477813035657
30min,vader_score,-0.2821795218772056,-1.8872332224595223,0.05912896365377289,-469.34816192953286,0.00852477813035657
1h,distilbert_score,0.3081137074248207,2.3568815179640734,0.018429125850055295,-423.74871279858206,0.019823286407072205
1h,svc_score,-0.2868063476254428,-1.9866545461259308,0.046960692119499825,-423.74871279858206,0.019823286407072205
1h,gbdt_score,0.17124290679042992,0.942465364645456,0.34595443560917005,-423.74871279858206,0.019823286407072205
1h,knn_score,0.37964685111592866,2.8366389375750583,0.004559113726812827,-423.74871279858206,0.019823286407072205
1h,flair_score,-0.1857350806907814,-1.3828892018629946,0.16669884176784822,-423.74871279858206,0.019823286407072205
1h,vader_score,0.038291466161444215,0.25118366914291435,0.8016721100352107,-423.74871279858206,0.019823286407072205
2h,distilbert_score,0.12629423250381647,1.0090251663854415,0.312962564890901,-458.5311212014136,0.006903168537343962
2h,svc_score,0.013767149976410062,0.09888894725208532,0.9212264447049362,-458.5311212014136,0.006903168537343962
