horizon,r_squared,correlation,t_distilbert,t_svc,t_gbdt,t_knn,t_flair,t_vader,t_preclose,p_distilbert,p_svc,p_gbdt,p_knn,p_flair,p_vader,p_preclose
5min,0.02182886174950227,0.14774593649066126,0.990279607759479,-0.3230393740890844,-0.05871173096510088,-0.43552833660228274,-0.2540718483023328,0.02961947027229484,0.0024008794192769715,0.3243358772206846,0.7473140245195989,0.9532943801823186,0.6640815610028248,0.7999416995273754,0.9764273027270012,0.9980889764984244
15min,0.30357209398772933,0.5509737688744624,0.9810869013336362,0.2937152744484533,-0.1231879959897501,-0.38933897491522196,-0.6008637276607233,-1.3074593093082036,-9.314120917270214,0.3276788082286338,0.7692655589265903,0.9020760491050456,0.6974199333888607,0.5485787230683177,0.19248640279409213,1.7143706501352918e-17
30min,0.2878400983832773,0.5365073143800345,1.504584821864455,0.33293390230971154,-0.4917238027482985,-0.46334771050589113,-0.04436075079116562,-0.4227732411117042,-14.854174392091908,0.13300279095326403,0.7393105857699143,0.6231100814798274,0.6432977843580246,0.9646328895002131,0.6726253541320474,3.11494065253075e-42
1h,0.27642810335245327,0.525764303992248,1.0710044047633265,-0.7835255372037272,0.9008495727433546,-0.06827780258410264,-0.565680293975539,-0.16322668292935047,-8.682194613642709,0.2854391381579134,0.43423175954277515,0.3687357969045737,0.9456316987961002,0.5722358565043235,0.8705023389176386,1.2759227947660956e-15
2h,0.1390617883331513,0.372909893048108,1.0651664700268109,-0.29316201819909243,-0.5040868125540088,-0.5251117308561267,1.1567514707454922,0.5478160639872501,-8.859235618360172,0.2872766362182825,0.7695109384339007,0.6144059730682512,0.599721046221777,0.24788537209339964,0.5840445683877478,1.1633244133245589e-17
5h,0.09526160307340747,0.3086447846204553,0.09242907729954605,1.1687148607382585,-0.5413969436636091,0.8604004433351221,1.1639328554637491,-0.274936677679442,-6.865089629118344,0.9263930809774781,0.24305922470464453,0.5884681343405304,0.38996870532083305,0.24499016214633834,0.7834751499712542,1.9180531587174356e-11
12h,0.009995165538819628,0.09997582477189053,-0.004457927522308866,0.9104494874730769,-1.1541332271518987,0.1086749874067872,0.2686299429356184,0.14191308180160545,-1.4754904136946392,0.9964449639760027,0.36304534413404943,0.24902346432696662,0.9135059809164923,0.7883306090345404,0.887208578756805,0.140740505670743
24h,0.014084212362974635,0.11867692430702076,1.0296622369816804,1.9123899747489794,-0.09272145102998121,-0.13049811436384695,-0.3556243757811887,-1.0372882721385128,0.7660123702751115,0.3037216916812214,0.056460771902088557,0.9261661195040098,0.8962306615502479,0.722288527371631,0.3001585836276793,0.4440705529008465
