Date,Close,Open,High,Low,Return,Return%,Log Return,Log Return-3d,Log Return-5d,SMA-5d,SMA-8d,SMA-13d,SMA-21d,EMA-5d,EMA-8d,EMA-12d,EMA-26d,RSI-14d,RSI-21d,UpperBollingerBand,LowerBollingerBand,MACD,Stoc%K,TR,ATR,Gain,Loss,,,,,
5/29/2025,5912.17,5939.96,5943.13,5873.8,-0.48,-8.11885E-05,0.318758763,1.764922985,1.433449794,5940.046667,5965.036667,5981.830714,NA,5934.86542,5952.547376,5975.647811,NA,NA,NA,5985.053229,5895.040105,NA,49.84173876,31.44,40.186,0.48,0,,,,,
5/28/2025,5888.55,5925.54,5939.92,5881.88,23.62,0.004011174,1.373279893,1.675686709,1.915188705,5931.588333,5948.341111,5975.104286,NA,5919.426947,5938.325737,5962.248147,NA,39.01551382,NA,5984.229378,5878.947288,NA,72.21192722,27.75,53.378,0,23.62,,,,,
5/27/2025,5921.54,5854.07,5924.33,5854.07,-32.99,-0.005571186,-1.518382316,-0.99343623,1.688686724,5923.376667,5938.97,5967.135,NA,5920.131298,5934.595573,5955.985356,NA,36.43525836,NA,5978.806625,5867.946709,NA,100,35.78,61.976,32.99,0,,,,,
5/23/2025,5802.82,5781.89,5829.51,5767.41,118.72,0.020459018,2.074523888,2.038818787,2.124243309,5895.451667,5917.021111,5954.695714,NA,5881.027532,5905.312112,5932.421455,NA,31.62315598,NA,5926.365745,5864.537589,NA,0,139.65,74.96,0,118.72,,,,,
5/22/2025,5842.01,5841.26,5878.08,5825.82,-39.19,-0.006708308,-1.593175263,1.667826379,1.843108142,5879.796667,5906.211111,5940.177857,NA,5868.021688,5891.244976,5918.512,NA,27.14905673,NA,5967.085543,5792.50779,NA,28.47282767,75.26,91.1,39.19,0,,,,,
5/21/2025,5844.61,5910.18,5938.37,5830.91,-2.6,-0.000444854,-0.414973348,1.886095732,1.829689641,5868.616667,5892.188889,5927.49,NA,5860.217792,5880.881648,5907.142462,NA,29.06836982,NA,5958.135209,5779.098124,NA,25.99203881,96.36,91.46,2.6,0,,,,,
5/20/2025,5940.46,5944.66,5953.06,5909.26,-95.85,-0.016135114,-1.981592117,-2.138744664,-1.715251029,5873.331667,5888.865556,5920.465,NA,5886.965195,5894.121282,5912.268237,NA,40.2351119,NA,5955.464605,5791.198728,NA,80.96882967,108.45,70.432,95.85,0,,,,,
5/19/2025,5963.6,5902.88,5968.61,5895.69,-23.14,-0.003880207,-1.364363355,-2.084897858,-1.623869268,5885.84,5891.938889,5917.445,NA,5912.51013,5909.560997,5920.165431,NA,45.71891454,NA,5990.000695,5781.679305,NA,100,37.58,73.092,23.14,0,,,,,
5/16/2025,5958.38,5929.09,5958.62,5907.36,5.22,0.000876077,0.717670503,-2.056027758,-2.191897934,5891.98,5897.126667,5914.446429,5950.345455,5927.800087,5920.409664,5926.044596,NA,45.74670719,48.36941958,6016.20034,5767.75966,NA,92.64995776,34.51,57.858,0,5.22,,,,,
5/15/2025,5916.93,5869.82,5924.21,5865.16,41.45,0.007005322,1.617524535,1.371621927,-1.874597769,5910.998333,5897.655556,5912.848571,5947.355,5924.176724,5919.636406,5924.64235,NA,47.63974762,42.12253533,6020.687755,5801.308912,NA,39.42894225,88.56,43.854,0,41.45,,,,,
