Date,Close,Open,High,Low,Return
5/14/24,5246.68,5221.1,5250.37,5217.98,-61.47
5/13/24,5221.42,5233.08,5237.26,5211.16,-25.26
5/10/24,5222.68,5225.49,5239.66,5209.68,1.26
5/9/24,5214.08,5189.03,5215.3,5180.41,-8.6
5/8/24,5187.67,5168.98,5191.95,5165.86,-26.41
5/7/24,5187.7,5187.2,5200.23,5178.96,0.03
5/6/24,5180.74,5142.42,5181,5142.42,-6.96
5/3/24,5127.79,5122.78,5139.12,5101.22,-52.95
5/2/24,5064.2,5049.32,5073.21,5011.05,-63.59
5/1/24,5018.39,5029.03,5096.12,5013.45,-45.81
4/30/24,5035.69,5103.78,5110.83,5035.31,17.3
4/29/24,5116.17,5114.13,5123.49,5088.65,80.48
4/26/24,5099.96,5084.65,5114.62,5073.14,-16.21
4/25/24,5048.42,5019.88,5057.75,4990.58,-51.54
4/24/24,5071.63,5084.86,5089.48,5047.02,23.21
4/23/24,5070.55,5028.85,5076.12,5027.96,-1.08
4/22/24,5010.6,4987.33,5038.84,4969.4,-59.95
4/19/24,4967.23,5005.44,5019.02,4953.56,-43.37
4/18/24,5011.12,5031.52,5056.66,5001.89,43.89
4/17/24,5022.21,5068.97,5077.96,5007.25,11.09
4/16/24,5051.41,5064.59,5079.84,5039.83,29.2
4/15/24,5061.82,5149.67,5168.43,5052.47,10.41
4/12/24,5123.41,5171.51,5175.03,5107.94,61.59
4/11/24,5199.06,5172.95,5211.78,5138.77,75.65
4/10/24,5160.64,5167.88,5178.43,5138.7,-38.42
4/9/24,5209.91,5217.03,5224.81,5160.78,49.27
4/8/24,5202.39,5211.37,5219.57,5197.35,-7.52
4/5/24,5204.34,5158.95,5222.18,5157.21,1.95
4/4/24,5147.21,5244.05,5256.59,5146.06,-57.13
4/3/24,5211.49,5194.37,5228.75,5194.37,64.28
4/2/24,5205.81,5204.29,5208.34,5184.05,-5.68
4/1/24,5243.77,5257.97,5263.95,5229.2,37.96
3/28/24,5254.35,5248.03,5264.85,5245.82,10.58
3/27/24,5248.49,5226.31,5249.26,5213.92,-5.86
3/26/24,5203.58,5228.85,5235.16,5203.42,-44.91
3/25/24,5218.19,5219.52,5229.09,5216.09,14.61
3/22/24,5234.18,5242.48,5246.09,5229.87,15.99
3/21/24,5241.53,5253.43,5261.1,5240.66,7.35
3/20/24,5224.62,5181.69,5226.19,5171.55,-16.91
3/19/24,5178.51,5139.09,5180.31,5131.59,-46.11
3/18/24,5149.42,5154.77,5175.6,5145.47,-29.09
3/15/24,5117.09,5123.31,5136.86,5104.35,-32.33
3/14/24,5150.48,5175.14,5176.85,5123.3,33.39
3/13/24,5165.31,5173.49,5179.14,5151.88,14.83
3/12/24,5175.27,5134.3,5179.87,5114.48,9.96
3/11/24,5117.94,5111.96,5124.66,5091.14,-57.33
3/8/24,5123.69,5164.46,5189.26,5117.5,5.75
3/7/24,5157.36,5132.38,5165.62,5128.21,33.67
3/6/24,5104.76,5108.03,5127.97,5092.22,-52.6
3/5/24,5078.65,5110.52,5114.54,5056.82,-26.11
3/4/24,5130.95,5130.99,5149.67,5127.18,52.3
3/1/24,5137.08,5098.51,5140.33,5094.16,6.13
2/29/24,5096.27,5085.36,5104.99,5061.89,-40.81
2/28/24,5069.76,5067.2,5077.37,5058.35,-26.51
2/27/24,5078.18,5074.6,5080.69,5057.29,8.42
2/26/24,5069.53,5093,5097.66,5068.91,-8.65
2/23/24,5088.8,5100.92,5111.06,5081.46,19.27
2/22/24,5087.03,5038.83,5094.39,5038.83,-1.77
2/21/24,4981.8,4963.03,4983.21,4946,-105.23
2/20/24,4975.51,4989.32,4993.71,4955.02,-6.29
2/16/24,5005.57,5031.13,5038.7,4999.52,30.06
2/15/24,5029.73,5003.14,5032.72,4999.44,24.16
2/14/24,5000.62,4976.44,5002.52,4956.45,-29.11
2/13/24,4953.17,4967.94,4971.3,4920.31,-47.45
2/12/24,5021.84,5026.83,5048.39,5016.83,68.67
2/9/24,5026.61,5004.17,5030.06,5000.34,4.77
2/8/24,4997.91,4995.16,5000.4,4987.09,-28.7
2/7/24,4995.06,4973.05,4999.89,4969.05,-2.85
2/6/24,4954.23,4950.16,4957.77,4934.88,-40.83
2/5/24,4942.81,4957.19,4957.19,4918.09,-11.42
2/2/24,4958.61,4916.06,4975.29,4907.99,15.8
2/1/24,4906.19,4861.11,4906.97,4853.52,-52.42
1/31/24,4845.65,4899.19,4906.75,4845.15,-60.54
1/30/24,4924.97,4925.89,4931.09,4916.27,79.32
1/29/24,4927.93,4892.95,4929.31,4887.4,2.96
1/26/24,4890.97,4888.91,4906.69,4881.47,-36.96
1/25/24,4894.16,4886.66,4898.15,4869.34,3.19
1/24/24,4868.55,4888.56,4903.68,4865.94,-25.61
1/23/24,4864.6,4856.8,4866.48,4844.37,-3.95
1/22/24,4850.43,4853.42,4868.41,4844.05,-14.17
1/19/24,4839.81,4796.28,4842.07,4785.87,-10.62
1/18/24,4780.94,4760.1,4785.79,4740.57,-58.87
1/17/24,4739.21,4739.13,4744.23,4714.82,-41.73
1/16/24,4765.98,4772.35,4782.34,4747.12,26.77
1/12/24,4783.83,4791.18,4802.4,4768.98,17.85
1/11/24,4780.24,4792.13,4798.5,4739.58,-3.59
1/10/24,4783.45,4759.94,4790.8,4756.2,3.21
1/9/24,4756.5,4741.93,4765.47,4730.35,-26.95
1/8/24,4763.54,4703.7,4764.54,4699.82,7.04
1/5/24,4697.24,4690.57,4721.49,4682.11,-66.3
1/4/24,4688.68,4697.42,4726.78,4687.53,-8.56
1/3/24,4704.81,4725.07,4729.29,4699.71,16.13
1/2/24,4742.83,4745.2,4754.33,4722.67,38.02
12/29/23,4769.83,4782.88,4788.43,4751.99,27
12/28/23,4783.35,4786.44,4793.3,4780.98,13.52
12/27/23,4781.58,4773.45,4785.39,4768.9,-1.77
12/26/23,4774.75,4758.86,4784.72,4758.45,-6.83
12/22/23,4754.63,4753.92,4772.94,4736.77,-20.12
12/21/23,4746.75,4724.29,4748.71,4708.35,-7.88
12/20/23,4698.35,4764.73,4778.01,4697.82,-48.4
12/19/23,4768.37,4743.72,4768.69,4743.72,70.02
12/18/23,4740.56,4725.58,4749.52,4725.58,-27.81
12/15/23,4719.19,4714.23,4725.53,4704.69,-21.37
12/14/23,4719.55,4721.04,4738.57,4694.34,0.36
12/13/23,4707.09,4646.2,4709.69,4643.23,-12.46
12/12/23,4643.7,4618.3,4643.93,4608.09,-63.39
12/11/23,4622.44,4593.39,4623.71,4593.39,-21.26
12/8/23,4604.37,4576.2,4609.23,4574.06,-18.07
12/7/23,4585.59,4568.84,4590.92,4565.22,-18.78
12/6/23,4549.34,4586.23,4590.74,4546.5,-36.25
12/5/23,4567.18,4557.25,4578.56,4551.68,17.84
12/4/23,4569.78,4564.37,4572.37,4546.72,2.6
12/1/23,4594.63,4559.43,4599.39,4554.71,24.85
11/30/23,4567.8,4554.87,4569.89,4537.24,-26.83
11/29/23,4550.58,4571.84,4587.64,4547.15,-17.22
11/28/23,4554.89,4545.55,4568.14,4540.51,4.31
11/27/23,4550.43,4554.86,4560.52,4546.32,-4.46
11/24/23,4559.34,4555.84,4560.31,4552.8,8.91
11/22/23,4556.62,4553.04,4568.43,4545.05,-2.72
11/21/23,4538.19,4538.77,4542.14,4525.51,-18.43
11/20/23,4547.38,4511.7,4557.11,4510.36,9.19
11/17/23,4514.02,4509.55,4520.12,4499.66,-33.36
11/16/23,4508.24,4497.08,4511.99,4487.83,-5.78
11/15/23,4502.88,4505.3,4521.17,4495.31,-5.36
11/14/23,4495.7,4458.97,4508.67,4458.97,-7.18
11/13/23,4411.55,4406.66,4421.76,4393.82,-84.15
11/10/23,4415.24,4364.15,4418.03,4353.34,3.69
11/9/23,4347.35,4391.41,4393.4,4343.94,-67.89
11/8/23,4382.78,4384.37,4391.2,4359.76,35.43
11/7/23,4378.38,4366.21,4386.26,4355.41,-4.4
11/6/23,4365.98,4364.27,4372.21,4347.53,-12.4
11/3/23,4358.34,4334.23,4373.62,4334.23,-7.64
11/2/23,4317.78,4268.26,4319.72,4268.26,-40.56
11/1/23,4237.86,4201.27,4245.64,4197.74,-79.92
10/31/23,4193.8,4171.33,4195.55,4153.12,-44.06
10/30/23,4166.82,4139.39,4177.47,4132.94,-26.98
10/27/23,4117.37,4152.93,4156.7,4103.78,-49.45
10/26/23,4137.23,4175.99,4183.6,4127.9,19.86
10/25/23,4186.77,4232.42,4232.42,4181.42,49.54
10/24/23,4247.68,4235.79,4259.38,4219.43,60.91
10/23/23,4217.04,4210.4,4255.84,4189.22,-30.64
10/20/23,4224.16,4273.85,4276.56,4223.03,7.12
10/19/23,4278,4321.36,4339.54,4269.69,53.84
10/18/23,4314.6,4357.35,4364.2,4303.84,36.6
10/17/23,4373.2,4345.23,4393.57,4337.54,58.6
10/16/23,4373.63,4342.37,4383.33,4342.37,0.43
10/13/23,4327.78,4360.49,4377.1,4311.97,-45.85
10/12/23,4349.61,4380.94,4385.85,4325.43,21.83
10/11/23,4376.95,4366.59,4378.64,4345.34,27.34
10/10/23,4358.24,4339.75,4385.46,4339.64,-18.71
10/9/23,4335.66,4289.02,4341.73,4283.79,-22.58
10/6/23,4308.5,4234.79,4324.1,4219.55,-27.16
10/5/23,4258.19,4259.31,4267.13,4225.91,-50.31
10/4/23,4263.75,4233.83,4268.5,4220.48,5.56
10/3/23,4229.45,4269.75,4281.15,4216.45,-34.3
10/2/23,4288.39,4284.52,4300.58,4260.21,58.94
9/29/23,4288.05,4328.18,4333.15,4274.86,-0.34
9/28/23,4299.7,4269.65,4317.27,4264.38,11.65
9/27/23,4274.51,4282.63,4292.07,4238.63,-25.19
9/26/23,4273.53,4312.88,4313.01,4265.98,-0.98
9/25/23,4337.44,4310.62,4338.51,4302.7,63.91
9/22/23,4320.06,4341.74,4357.4,4316.49,-17.38
9/21/23,4330,4374.36,4375.7,4329.17,9.94
9/20/23,4402.2,4452.81,4461.03,4401.38,72.2
9/19/23,4443.95,4445.41,4449.85,4416.61,41.75
9/18/23,4453.53,4445.13,4466.36,4442.11,9.58
9/15/23,4450.32,4497.98,4497.98,4447.21,-3.21
9/14/23,4505.1,4487.78,4511.99,4478.69,54.78
9/13/23,4467.44,4462.65,4479.39,4453.52,-37.66
9/12/23,4461.9,4473.27,4487.11,4456.83,-5.54
9/11/23,4487.46,4480.98,4490.77,4467.89,25.56
9/8/23,4457.49,4451.3,4473.53,4448.38,-29.97
9/7/23,4451.14,4434.55,4457.81,4430.46,-6.35
9/6/23,4465.48,4490.35,4490.35,4442.38,14.34
9/5/23,4496.83,4510.06,4514.29,4496.01,31.35
9/1/23,4515.77,4530.6,4541.25,4501.35,18.94
8/31/23,4507.66,4517.01,4532.26,4507.39,-8.11
8/30/23,4514.87,4500.34,4521.65,4493.59,7.21
8/29/23,4497.63,4432.75,4500.14,4431.68,-17.24
8/28/23,4433.31,4426.03,4439.56,4414.98,-64.32
8/25/23,4405.71,4389.38,4418.46,4356.29,-27.6
8/24/23,4376.31,4455.16,4458.3,4375.55,-29.4
8/23/23,4436.01,4396.44,4443.18,4396.44,59.7
8/22/23,4387.55,4415.33,4418.59,4382.77,-48.46
8/21/23,4399.77,4380.28,4407.55,4360.3,12.22
