,0
0,0.0
1,-1.0
2,0.1
3,-0.2
4,-0.04999999999999999
5,0.0
6,0.0
7,0.2
8,-0.25
9,-0.15
10,0.5
11,0.0
12,0.0
13,0.4
14,-0.3
15,0.0
16,0.25
17,0.0
18,0.0
19,-0.3125
20,0.13636363636363635
21,0.13636363636363635
22,0.0
23,0.0
24,-0.4
25,0.0
26,-0.16666666666666666
27,0.0
28,0.0
29,0.024999999999999994
30,0.22727272727272727
31,-0.06666666666666667
32,0.0
33,0.0
34,0.0
35,0.0
36,-0.2
37,-0.2
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.1481818181818182
44,-0.2
45,-0.2
46,0.0
47,0.0
48,-0.13333333333333333
49,0.22142857142857142
50,0.0
51,0.0
52,0.0
53,-0.16666666666666666
54,0.0
55,0.0
56,0.5
57,-0.25
58,0.0
59,0.9
60,-0.25
61,0.0
62,0.0
63,0.225
64,0.0
65,0.15000000000000002
66,-0.08417508417508418
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,-0.4
80,0.0
81,-0.5
82,-0.2
83,-0.08787878787878789
84,0.0
85,0.0
86,0.25
87,0.375
88,0.75
89,0.0
90,0.0
91,0.0
92,0.0
93,-0.3875
94,-0.2
95,-0.2
96,0.13636363636363635
97,0.0
98,-0.5
99,0.0
